ljfxtc;90hwnk9;v03idh3;90hwnk10;v03idh4;90hwnk11;v03idh5;90hwnk12;v03idh6;90hwnk13;v03idh7;90hwnk17;v03idh11;90hwnk20;v03idh14;90hwnk21;v03idh15;90hwnk22;v03idh16;90hwnk25;v03idh19;qubdny;nndkn7;2em8jo;1jclu3;5lkssg;codq0a;jrowix;z6mcrk;y1igza;tt2yek;vdipua;zofpqz;hfeoow;n4y3fs;2zbgtn;tm1bdf;fnz5f1;enjcyd;aeoqyi;# ResponseStatus;# Date;# Identifier;# ResponseKey;# DiffusionDate
Ich erkläre, dass ich über die Verarbeitung meiner Daten aufgeklärt wurde und mit der Verarbeitung meiner Daten einverstanden bin.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Unvollständige Antwort;19.07.2023 22:17;;Reponse63;13.07.2023 14:19
Ich erkläre, dass ich über die Verarbeitung meiner Daten aufgeklärt wurde und mit der Verarbeitung meiner Daten einverstanden bin.;Ja;63%;Nein;62%;Ja;62%;Ja;63%;Nein;66%;Ja;65%;Ja;65%;Ja;64%;Ja;69%;Nein;70%;Stimme eher zu;Stimme voll zu;Stimme weder zu noch nicht zu;Stimme weder zu noch nicht zu;Stimme eher zu;Stimme eher nicht zu;Stimme eher zu;Stimme eher nicht zu;Stimme eher zu;Stimme eher zu;Stimme weder zu noch nicht zu;Stimme eher zu;Stimme eher zu;Stimme eher nicht zu;Stimme gar nicht zu;Stimme voll zu;Stimme voll zu;18 - 24;Weiblich;Komplette Antwort;20.07.2023 08:30;;Reponse65;13.07.2023 14:19
Ich erkläre, dass ich über die Verarbeitung meiner Daten aufgeklärt wurde und mit der Verarbeitung meiner Daten einverstanden bin.;Ja;86%;Nein;53%;Ja;67%;Ja;60%;Nein;59%;Nein;51%;Nein;51%;Ja;56%;Ja;52%;Ja;68%;Stimme eher zu;Stimme weder zu noch nicht zu;Stimme eher zu;Stimme weder zu noch nicht zu;Stimme eher zu;Stimme weder zu noch nicht zu;Stimme eher zu;Keine Angabe;Stimme eher zu;Stimme weder zu noch nicht zu;Stimme eher zu;Stimme eher zu;Stimme voll zu;Stimme eher nicht zu;Stimme eher zu;Keine Angabe;Stimme eher zu;18 - 24;Weiblich;Komplette Antwort;19.07.2023 22:29;;Reponse64;13.07.2023 14:19
Ich erkläre, dass ich über die Verarbeitung meiner Daten aufgeklärt wurde und mit der Verarbeitung meiner Daten einverstanden bin.;Nein;15%;Nein;5%;Ja;15%;Ja;25%;Ja;40%;Nein;26%;Ja;45%;Ja;50%;Ja;55%;Nein;51%;Stimme eher nicht zu;Stimme eher zu;Stimme voll zu;Stimme eher zu;Stimme gar nicht zu;Stimme weder zu noch nicht zu;Stimme gar nicht zu;Stimme voll zu;Stimme eher zu;Stimme weder zu noch nicht zu;Stimme eher nicht zu;Stimme eher nicht zu;Stimme voll zu;Stimme eher zu;Stimme voll zu;Stimme weder zu noch nicht zu;Stimme eher nicht zu;18 - 24;Männlich;Komplette Antwort;20.07.2023 14:11;;Reponse67;13.07.2023 14:19
Ich erkläre, dass ich über die Verarbeitung meiner Daten aufgeklärt wurde und mit der Verarbeitung meiner Daten einverstanden bin.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Unvollständige Antwort;20.07.2023 15:14;;Reponse68;13.07.2023 14:19
Ich erkläre, dass ich über die Verarbeitung meiner Daten aufgeklärt wurde und mit der Verarbeitung meiner Daten einverstanden bin.;Ja;80%;Nein;50%;Ja;60%;Nein;60%;Ja;58%;Nein;50%;Ja;50%;Ja;50%;Ja;50%;Ja;50%;Stimme eher zu;Stimme eher zu;Stimme gar nicht zu;Stimme weder zu noch nicht zu;Stimme weder zu noch nicht zu;Stimme weder zu noch nicht zu;Stimme eher nicht zu;Stimme eher nicht zu;Stimme gar nicht zu;Stimme eher nicht zu;Stimme gar nicht zu;Stimme weder zu noch nicht zu;Stimme voll zu;Stimme eher zu;Stimme gar nicht zu;Stimme weder zu noch nicht zu;Stimme weder zu noch nicht zu;18 - 24;Weiblich;Komplette Antwort;20.07.2023 16:29;;Reponse69;13.07.2023 14:19
Ich erkläre, dass ich über die Verarbeitung meiner Daten aufgeklärt wurde und mit der Verarbeitung meiner Daten einverstanden bin.;Ja;100%;Nein;54%;Ja;75%;Ja;84%;Ja;92%;Nein;74%;Ja;90%;Ja;95%;Ja;100%;Ja;100%;Stimme eher zu;Stimme gar nicht zu;Stimme eher zu;Stimme voll zu;Stimme eher zu;Stimme eher nicht zu;Stimme eher zu;Stimme eher nicht zu;Stimme voll zu;Stimme eher nicht zu;Stimme gar nicht zu;Stimme eher zu;Stimme voll zu;Stimme gar nicht zu;Stimme gar nicht zu;Stimme eher zu;Stimme weder zu noch nicht zu;18 - 24;Männlich;Komplette Antwort;24.07.2023 09:18;;Reponse70;13.07.2023 14:19
Ich erkläre, dass ich über die Verarbeitung meiner Daten aufgeklärt wurde und mit der Verarbeitung meiner Daten einverstanden bin.;Ja;100%;Nein;80%;Ja;100%;Nein;93%;Nein;87%;Nein;81%;Ja;100%;Nein;89%;Ja;100%;Ja;100%;Stimme voll zu;Keine Angabe;Stimme voll zu;Stimme eher zu;Stimme eher zu;Stimme eher nicht zu;Stimme eher zu;Stimme weder zu noch nicht zu;Stimme eher zu;Stimme eher zu;Stimme weder zu noch nicht zu;Stimme eher zu;Stimme voll zu;Stimme eher nicht zu;Stimme voll zu;Stimme weder zu noch nicht zu;Stimme voll zu;35 - 50;Weiblich;Komplette Antwort;17.07.2023 09:59;;Reponse58;13.07.2023 14:19
Ich erkläre, dass ich über die Verarbeitung meiner Daten aufgeklärt wurde und mit der Verarbeitung meiner Daten einverstanden bin.;Nein;80%;Nein;60%;Ja;65%;Ja;70%;Nein;75%;Nein;70%;Ja;65%;Nein;70%;Ja;77%;Ja;75%;Stimme weder zu noch nicht zu;Stimme eher zu;Stimme voll zu;Stimme eher zu;Stimme eher nicht zu;Stimme eher nicht zu;Stimme voll zu;Stimme weder zu noch nicht zu;Stimme eher zu;Stimme eher zu;Stimme weder zu noch nicht zu;Stimme gar nicht zu;Stimme voll zu;Stimme weder zu noch nicht zu;Stimme weder zu noch nicht zu;Stimme eher zu;Stimme weder zu noch nicht zu;25 - 34;Weiblich;Komplette Antwort;17.07.2023 11:10;;Reponse59;13.07.2023 14:19
Ich erkläre, dass ich über die Verarbeitung meiner Daten aufgeklärt wurde und mit der Verarbeitung meiner Daten einverstanden bin.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Unvollständige Antwort;24.07.2023 19:23;;Reponse79;13.07.2023 14:19
Ich erkläre, dass ich über die Verarbeitung meiner Daten aufgeklärt wurde und mit der Verarbeitung meiner Daten einverstanden bin.;Ja;100%;Nein;71%;Ja;84%;Ja;84%;Ja;87%;Ja;82%;Ja;81%;Ja;100%;Ja;100%;Ja;100%;Stimme voll zu;Stimme weder zu noch nicht zu;Stimme eher nicht zu;Stimme eher zu;Stimme voll zu;Stimme eher nicht zu;Stimme voll zu;Stimme weder zu noch nicht zu;Stimme weder zu noch nicht zu;Stimme weder zu noch nicht zu;Stimme eher zu;Stimme voll zu;Stimme eher zu;Stimme weder zu noch nicht zu;Stimme eher nicht zu;Stimme eher zu;Stimme eher zu;18 - 24;Weiblich;Komplette Antwort;24.07.2023 19:21;;Reponse77;13.07.2023 14:19
Ich erkläre, dass ich über die Verarbeitung meiner Daten aufgeklärt wurde und mit der Verarbeitung meiner Daten einverstanden bin.;Ja;100%;Nein;75%;Ja;80%;Ja;86%;Ja;85%;Nein;80%;Ja;80%;Ja;88%;Ja;83%;Ja;88%;Stimme eher zu;Stimme weder zu noch nicht zu;Stimme gar nicht zu;Stimme eher nicht zu;Stimme eher zu;Stimme eher nicht zu;Stimme eher zu;Stimme eher nicht zu;Stimme weder zu noch nicht zu;Stimme eher zu;Stimme weder zu noch nicht zu;Stimme weder zu noch nicht zu;Stimme voll zu;Stimme weder zu noch nicht zu;Stimme weder zu noch nicht zu;Stimme eher zu;Stimme weder zu noch nicht zu;18 - 24;Männlich;Komplette Antwort;24.07.2023 19:21;;Reponse78;13.07.2023 14:19
Ich erkläre, dass ich über die Verarbeitung meiner Daten aufgeklärt wurde und mit der Verarbeitung meiner Daten einverstanden bin.;Ja;65%;Nein;45%;Ja;73%;Ja;81%;Nein;53%;Nein;43%;Nein;48%;Ja;41%;Ja;65%;Nein;36%;Stimme weder zu noch nicht zu;Stimme eher zu;Stimme voll zu;Stimme eher zu;Stimme eher nicht zu;Stimme eher zu;Stimme eher nicht zu;Stimme voll zu;Stimme eher zu;Stimme weder zu noch nicht zu;Stimme eher nicht zu;Stimme eher nicht zu;Stimme voll zu;Stimme voll zu;Stimme eher zu;Stimme eher zu;Stimme eher nicht zu;25 - 34;Männlich;Komplette Antwort;24.07.2023 21:01;;Reponse81;13.07.2023 14:19
Ich erkläre, dass ich über die Verarbeitung meiner Daten aufgeklärt wurde und mit der Verarbeitung meiner Daten einverstanden bin.;Ja;80%;Ja;78%;Ja;86%;Ja;75%;Ja;83%;Nein;54%;Ja;69%;Ja;87%;Ja;82%;Ja;87%;Stimme eher zu;Stimme weder zu noch nicht zu;Stimme voll zu;Stimme eher zu;Stimme eher zu;Stimme weder zu noch nicht zu;Stimme weder zu noch nicht zu;Stimme weder zu noch nicht zu;Stimme eher nicht zu;Stimme weder zu noch nicht zu;Stimme eher zu;Stimme eher nicht zu;Stimme eher zu;Stimme eher zu;Stimme voll zu;Stimme eher zu;Stimme eher zu;35 - 50;Weiblich;Komplette Antwort;25.07.2023 09:49;;Reponse82;13.07.2023 14:19
Ich erkläre, dass ich über die Verarbeitung meiner Daten aufgeklärt wurde und mit der Verarbeitung meiner Daten einverstanden bin.;Ja;60%;Nein;60%;Ja;60%;Ja;70%;Ja;75%;Nein;75%;Ja;80%;Nein;80%;Ja;80%;Ja;80%;Stimme eher zu;Stimme eher nicht zu;Stimme gar nicht zu;Stimme eher zu;Stimme eher zu;Stimme gar nicht zu;Stimme weder zu noch nicht zu;Stimme gar nicht zu;Stimme eher nicht zu;Stimme eher nicht zu;Stimme eher zu;Stimme weder zu noch nicht zu;Stimme voll zu;Stimme weder zu noch nicht zu;Stimme gar nicht zu;Stimme voll zu;Stimme eher zu;18 - 24;Weiblich;Komplette Antwort;24.07.2023 19:50;;Reponse80;13.07.2023 14:19
Ich erkläre, dass ich über die Verarbeitung meiner Daten aufgeklärt wurde und mit der Verarbeitung meiner Daten einverstanden bin.;Ja;97%;Nein;78%;Nein;85%;Ja;86%;Ja;84%;Nein;80%;Ja;83%;Ja;78%;Ja;82%;Ja;83%;Stimme eher zu;Stimme eher nicht zu;Stimme eher zu;Stimme eher zu;Stimme weder zu noch nicht zu;Stimme eher zu;Stimme weder zu noch nicht zu;Keine Angabe;Stimme eher nicht zu;Stimme eher nicht zu;Keine Angabe;Stimme eher nicht zu;Stimme eher zu;Stimme voll zu;Stimme weder zu noch nicht zu;Stimme weder zu noch nicht zu;Stimme eher zu;18 - 24;Männlich;Komplette Antwort;25.07.2023 11:59;;Reponse83;13.07.2023 14:19
